4	11	19	180
19	15	19	90
0	16	19	90
9	9	20	180
4	10	20	90
6	11	20	180
11	15	20	90
0	16	20	90
4	9	21	90
0	10	21	180
11	11	21	180
19	13	21	180
19	15	21	180
11	7	22	0
6	8	22	0
19	13	22	180
17	15	22	90
17	16	22	90
4	17	22	0
11	6	23	180
11	7	23	180
9	8	23	180
4	9	23	90
9	10	23	0
11	11	23	0
4	12	23	90
4	14	23	270
17	15	23	90
17	16	23	90
17	17	23	270
4	18	23	270
4	5	24	270
6	7	24	0
11	8	24	0
0	9	24	0
9	10	24	0
4	11	24	180
11	13	24	180
4	5	25	270
6	9	25	180
9	10	25	180
9	11	25	0
19	13	25	0
17	15	25	90
17	16	25	270
17	17	25	0
4	15	26	180
4	16	26	180
0	20	30	0
0	21	30	0
0	22	30	0
9	19	31	180
11	20	31	180
9	21	31	180
6	22	31	180
0	23	31	180
4	24	31	90
0	25	31	180
0	26	31	180
0	27	31	270
0	28	31	90
11	19	32	0
0	20	32	0
9	21	32	0
6	22	32	0
0	23	32	0
4	24	32	270
9	25	32	90
4	26	32	270
9	27	32	270
0	28	32	90
0	29	32	0
4	30	32	0
9	31	32	90
3	32	32	90
0	19	33	180
19	20	33	180
9	21	33	180
17	22	33	180
11	23	33	0
4	24	33	90
11	25	33	90
17	26	33	90
9	27	33	270
0	28	33	90
6	29	33	270
4	30	33	180
6	31	33	90
0	32	33	90
4	19	34	270
4	20	34	270
4	21	34	180
4	22	34	270
11	23	34	270
4	24	34	270
9	25	34	180
9	26	34	180
0	27	34	180
0	28	34	180
6	29	34	180
4	30	34	90
0	31	34	270
6	32	34	0
4	23	35	270
4	24	35	0
4	25	35	0
4	26	35	90
4	27	35	270
4	28	35	270
4	29	35	270
9	30	35	0
4	31	35	270

